sentence1,sentence2,similarity_score,b_sentence1,b_sentence2,p_sentence1,p_sentence2,sts_ft_score,b_ft_score,p_sts_ft_score
A black and white horned cow standing in a field.,A large black and white cow in a field.,4.0,a black and white horned cow standing in a field,a large black and white cow in a field,black white horned cow standing field,large black white cow field,0.96,0.96,0.91
"A long-haired man with a hat standing between two large, half-empty Coke bottles.",A man with a cap and jacket walking between two large bottles.,3.6,a long haired man with a hat standing between two large half empty coke bottles,a man with a cap and jacket walking between two large bottles,long haired man hat standing two large half empty coke bottles,man cap jacket walking two large bottles,0.9,0.92,0.86
An AeroMexico jet taxing along a runway.,A silver AreoMexico Jet Liner sitting on the tarmac.,3.2,an aeromexico jet taxing along a runway,a silver areomexico jet liner sitting on the tarmac,aeromexico jet taxing along runway,silver areomexico jet liner sitting tarmac,0.62,0.75,0.66
An older Asian couple poses with a newborn baby at the dinner table.,A group of elderly people pose around a dining table.,2.4,an older asian couple poses with a newborn baby at the dinner table,a group of elderly people pose around a dining table,older asian couple poses newborn baby dinner table,group elderly people pose around dining table,0.81,0.83,0.68
Domestic cat looking out window.,A white cat looking out of a window.,3.6,domestic cat looking out window,a white cat looking out of a window,domestic cat looking window,white cat looking window,0.75,0.76,0.86
A person is standing underneath an overpass near a highway.,A person walks a dog along the water's edge.,0.2,a person is standing underneath an overpass near a highway,a person walks a dog along the water s edge,person standing underneath overpass near highway,person walks dog along water edge,0.77,0.8,0.62
A woman and child push strollers down the sidewalk.,A women and a young girl walking pushchairs along the sidewalk.,3.4,a woman and child push strollers down the sidewalk,a women and a young girl walking pushchairs along the sidewalk,woman child push strollers sidewalk,women young girl walking pushchairs along sidewalk,0.88,0.89,0.78
"A woman at the dining table with wine, beer, and lemons.",Four women and two men sit at a long table in a restaurant.,1.4,a woman at the dining table with wine beer and lemons,four women and two men sit at a long table in a restaurant,woman dining table wine beer lemons,four women two men sit long table restaurant,0.8,0.83,0.6
A laptop computer and a computer monitor.,A laptop and a PC at a workstation.,2.6,a laptop computer and a computer monitor,a laptop and a pc at a workstation,laptop computer computer monitor,laptop pc workstation,0.86,0.87,0.81
A small yellow boat sitting on a tropical beach.,A small girl sits on a stone ledge near a white flowering plant.,0.0,a small yellow boat sitting on a tropical beach,a small girl sits on a stone ledge near a white flowering plant,small yellow boat sitting tropical beach,small girl sits stone ledge near white flowering plant,0.87,0.86,0.71
Two women are sheering a white sheep inside of a wooden building.,Two women shearing a white sheep in a wooden stall.,4.0,two women are sheering a white sheep inside of a wooden building,two women shearing a white sheep in a wooden stall,two women sheering white sheep inside wooden building,two women shearing white sheep wooden stall,0.93,0.92,0.9
A man with glasses and two plastic bottles in the foreground.,A man talking with two water bottles sitting in front of him.,3.0,a man with glasses and two plastic bottles in the foreground,a man talking with two water bottles sitting in front of him,man glasses two plastic bottles foreground,man talking two water bottles sitting front,0.9,0.9,0.79
An office with multiple desks and green walls.,Small office space with bright green walls.,4.0,an office with multiple desks and green walls,small office space with bright green walls,office multiple desks green walls,small office space bright green walls,0.8,0.82,0.8
A man on a motorcycle performing a wheelie.,Motorcyclist performing a wheelie next to a car.,4.0,a man on a motorcycle performing a wheelie,motorcyclist performing a wheelie next to a car,man motorcycle performing wheelie,motorcyclist performing wheelie next car,0.83,0.91,0.86
Left side of a silver train engine.,A close-up of a black train engine.,2.2,left side of a silver train engine,a close up of a black train engine,left side silver train engine,close black train engine,0.79,0.8,0.72
Blue couch and twin bed in a living room.,A leather couch and wooden table in a living room.,2.2,blue couch and twin bed in a living room,a leather couch and wooden table in a living room,blue couch twin bed living room,leather couch wooden table living room,0.87,0.9,0.82
A white bicycle stands on a floor.,Old style bicycle parked on floor.,3.4,a white bicycle stands on a floor,old style bicycle parked on floor,white bicycle stands floor,old style bicycle parked floor,0.71,0.74,0.75
A bird eating from a bird feeder.,A yellow bird eating fruit on a bird feeder.,3.2,a bird eating from a bird feeder,a yellow bird eating fruit on a bird feeder,bird eating bird feeder,yellow bird eating fruit bird feeder,0.93,0.93,0.93
Black bird sitting on a concrete slab.,Black bird standing on concrete.,4.0,black bird sitting on a concrete slab,black bird standing on concrete,black bird sitting concrete slab,black bird standing concrete,0.89,0.91,0.91
Dark colored dog standing in grassy field.,A grey dog standing in a grassy field.,3.2,dark colored dog standing in grassy field,a grey dog standing in a grassy field,dark colored dog standing grassy field,grey dog standing grassy field,0.85,0.87,0.93
A young blonde girl wearing a smile and a bicycle helmet.,A young girl wearing a bike helmet with a bicycle in the background.,3.8,a young blonde girl wearing a smile and a bicycle helmet,a young girl wearing a bike helmet with a bicycle in the background,young blonde girl wearing smile bicycle helmet,young girl wearing bike helmet bicycle background,0.92,0.92,0.9
Two brown horses standing in grassy field.,Brown horse standing in middle of grassy field.,3.0,two brown horses standing in grassy field,brown horse standing in middle of grassy field,two brown horses standing grassy field,brown horse standing middle grassy field,0.88,0.93,0.92
Boy lying on couch with small white dog.,A small boy laying on a sofa with a dog.,4.0,boy lying on couch with small white dog,a small boy laying on a sofa with a dog,boy lying couch small white dog,small boy laying sofa dog,0.84,0.84,0.91
A woman is laying down on the floor and holding a baby up above her.,A man is laying on the floor holding a baby up above him.,2.2,a woman is laying down on the floor and holding a baby up above her,a man is laying on the floor holding a baby up above him,woman laying floor holding baby,man laying floor holding baby,0.98,0.97,0.98
Depressed woman sitting on couch.,Older woman holding newborn baby.,0.0,depressed woman sitting on couch,older woman holding newborn baby,depressed woman sitting couch,older woman holding newborn baby,0.58,0.54,0.59
An elderly woman catches a ride on the back of the bicycle.,The boats are on the water located in front of the mountain.,0.0,an elderly woman catches a ride on the back of the bicycle,the boats are on the water located in front of the mountain,elderly woman catches ride back bicycle,boats water located front mountain,0.82,0.83,0.51
The brown and white cows are eating in the trough.,Brown and white cows are eating from a trough.,4.8,the brown and white cows are eating in the trough,brown and white cows are eating from a trough,brown white cows eating trough,brown white cows eating trough,0.92,0.94,1.0
"A young woman with outstretched arms stands in front of a ""Going Places"" bus.",TThe girl is standing in front of the open door of the bus.,3.0,a young woman with outstretched arms stands in front of a going places bus,tthe girl is standing in front of the open door of the bus,young woman outstretched arms stands front going places bus,tthe girl standing front open door bus,0.81,0.86,0.79
Black and white cow standing in grassy field.,A black and white photo of a man standing next to a bus.,0.8,black and white cow standing in grassy field,a black and white photo of a man standing next to a bus,black white cow standing grassy field,black white photo man standing next bus,0.74,0.75,0.77
A group of people having a meal outside.,A group of people eat at a table outside.,4.2,a group of people having a meal outside,a group of people eat at a table outside,group people meal outside,group people eat table outside,0.93,0.93,0.92
Two cats sitting together on the sofa looking out the window.,Two cats sit on the back of a couch looking out the window.,4.2,two cats sitting together on the sofa looking out the window,two cats sit on the back of a couch looking out the window,two cats sitting together sofa looking window,two cats sit back couch looking window,0.96,0.96,0.93
